ANTELACION_DIAS,HOTEL_SIZE,ADR,NOCHES,NENES,BEBES,STATUS_BOOL,SEGMENTO_COD,PAIS_AGRUPADO_COD,HABITACION_LIMPIA_COD,GRUPO_TIPO_COD,FUENTE_NEGOCIO_DIRECT SALES,FUENTE_NEGOCIO_E-COMMERCE,FUENTE_NEGOCIO_OTHERS,FUENTE_NEGOCIO_T.O. / T.A.,PAX_TIPO_PAREJAS,PAX_TIPO_SINGLE,TEMPORADA_BAJA,TEMPORADA_MEDIA,DISTANCIA_LARGO,DISTANCIA_MEDIO,DISTANCIA_NO INFO
281,PEQUEÑO,171.57,2,0,0,1,0.4785470697023485,0.28336811953080876,0.3975930893786635,0,False,True,False,False,True,False,True,False,True,False,False
64,PEQUEÑO,387.4,4,0,0,1,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
173,PEQUEÑO,189.885,4,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
44,PEQUEÑO,147.64,2,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,False,False,False,True,False,False,True
94,PEQUEÑO,290.4,7,0,0,0,0.375496596876965,0.28336811953080876,0.3975930893786635,0,True,False,False,False,True,False,False,False,True,False,False
71,PEQUEÑO,244.605,8,0,0,1,0.4785470697023485,0.24714373154448915,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
18,PEQUEÑO,326.22,4,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,True
65,PEQUEÑO,109.36,6,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
3,PEQUEÑO,147.64,1,0,0,0,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,False,False,False,False,False,True,False
1,PEQUEÑO,109.36,1,0,0,0,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
75,PEQUEÑO,393.74,4,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
24,PEQUEÑO,344.19,2,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
95,PEQUEÑO,384.64,3,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
79,PEQUEÑO,109.36,5,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,False,False
3,PEQUEÑO,109.36,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
61,PEQUEÑO,215.41285714285712,7,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,True
66,PEQUEÑO,109.36,7,0,0,1,0.375496596876965,0.30822109652834595,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,True,False
134,PEQUEÑO,109.36,7,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,False,False
85,PEQUEÑO,327.8,3,0,0,0,0.4785470697023485,0.44885588628528494,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,True,False
1,PEQUEÑO,322.2033333333334,3,0,0,0,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,True,False,False
21,PEQUEÑO,54.68000000000001,3,0,0,0,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,True,False,False,False,False,False
40,PEQUEÑO,109.36,7,0,0,0,0.375496596876965,0.30822109652834595,0.39731355104804955,0,False,False,False,True,True,False,False,False,False,True,False
13,PEQUEÑO,109.36,3,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
0,PEQUEÑO,248.53,2,0,0,0,0.38238539767685914,0.27072353509741803,0.3975930893786635,0,True,False,False,False,False,True,False,True,False,True,False
52,PEQUEÑO,109.36,8,0,0,0,0.375496596876965,0.4426721252232782,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,True,False
73,PEQUEÑO,317.71000000000004,4,0,0,1,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,False
41,PEQUEÑO,109.36,2,0,0,1,0.38238539767685914,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,True
339,PEQUEÑO,109.36,3,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,False,False
29,PEQUEÑO,240.83,3,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,True
12,PEQUEÑO,166.68,1,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,True
278,PEQUEÑO,109.36,7,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,False,False
61,PEQUEÑO,437.63000000000005,3,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
40,PEQUEÑO,109.36,3,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
30,PEQUEÑO,109.36,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,True,False,False,False,False
75,PEQUEÑO,109.36,5,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
3,PEQUEÑO,403.845,2,0,0,0,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
43,PEQUEÑO,516.0,4,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,False,True,False,False,True,False,False,False
62,PEQUEÑO,392.21333333333337,6,0,0,0,0.36594475728763026,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,False
108,PEQUEÑO,406.77833333333336,6,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
12,PEQUEÑO,109.36,3,0,0,1,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
5,PEQUEÑO,205.56000000000003,3,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
80,PEQUEÑO,325.42,3,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,True,True,False,False,False,False
0,PEQUEÑO,372.48,1,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
38,PEQUEÑO,109.36,1,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
81,PEQUEÑO,365.40333333333336,3,0,0,1,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,True,False
188,PEQUEÑO,343.99333333333334,3,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
62,PEQUEÑO,109.36,4,0,0,0,0.36594475728763026,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
