ANTELACION_DIAS,HOTEL_SIZE,ADR,NOCHES,NENES,BEBES,STATUS_BOOL,SEGMENTO_COD,PAIS_AGRUPADO_COD,HABITACION_LIMPIA_COD,GRUPO_TIPO_COD,FUENTE_NEGOCIO_DIRECT SALES,FUENTE_NEGOCIO_E-COMMERCE,FUENTE_NEGOCIO_OTHERS,FUENTE_NEGOCIO_T.O. / T.A.,PAX_TIPO_PAREJAS,PAX_TIPO_SINGLE,TEMPORADA_BAJA,TEMPORADA_MEDIA,DISTANCIA_LARGO,DISTANCIA_MEDIO,DISTANCIA_NO INFO
60,GRANDE,126.0,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
85,GRANDE,148.20000000000002,7,0,0,0,0.375496596876965,0.4235103291852269,0.3973135510480495,0,False,False,False,True,False,True,True,False,False,False,False
33,GRANDE,135.56,8,1,0,0,0.375496596876965,0.3082210965283459,0.3464035816116707,0,False,False,False,True,False,False,False,False,False,True,False
48,GRANDE,109.36,7,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
183,GRANDE,208.63,4,1,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,False,False,False,False,False,False,False
61,GRANDE,330.96,3,0,0,0,0.2140428994091968,0.3177865364253255,0.3975930893786635,1,True,False,False,False,True,False,False,False,False,False,False
61,GRANDE,330.96,3,0,0,0,0.2140428994091968,0.3177865364253255,0.3975930893786635,1,True,False,False,False,True,False,False,False,False,False,False
61,GRANDE,330.96,3,0,0,0,0.2140428994091968,0.3177865364253255,0.3975930893786635,1,True,False,False,False,True,False,False,False,False,False,False
232,GRANDE,134.0,7,0,0,0,0.375496596876965,0.4426721252232782,0.3975930893786635,0,False,False,False,True,True,False,False,False,True,False,False
61,GRANDE,330.96,3,0,0,0,0.2140428994091968,0.3177865364253255,0.3975930893786635,1,True,False,False,False,True,False,False,False,False,False,False
79,GRANDE,134.0,10,0,0,0,0.375496596876965,0.4426721252232782,0.3975930893786635,0,False,False,False,True,True,False,True,False,True,False,False
31,GRANDE,109.36,7,0,0,0,0.375496596876965,0.4235103291852269,0.3464035816116707,0,False,False,False,True,True,False,True,False,False,False,False
43,GRANDE,188.54,5,0,0,0,0.375496596876965,0.4488558862852849,0.3975930893786635,0,False,False,False,True,False,False,True,False,False,True,False
3,GRANDE,250.0,2,0,0,0,0.375496596876965,0.2491549324074749,0.3975930893786635,0,False,False,False,False,True,False,False,False,False,False,False
0,GRANDE,881.2200000000001,3,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,False,False,False,False,False,False
